estrutura,N,Tamanho da Tabela (M),Função Hash,Fator de Carga (N/M),Colisões Totais na Inserção,Tempo de Inserção (s),Tempo de Inserção — Desvio (s),Memória Alocada na Inserção (KB),RAM Consumida na Inserção (KB),CPU Médio na Inserção (%),CPU Pico na Inserção (%),Tempo de Busca (s),Tempo de Busca — Desvio (s),Comparações por Busca,Comparações por Busca — Desvio,Memória na Busca (KB),RAM na Busca (KB),CPU Médio na Busca (%),CPU Pico na Busca (%)
Hash (Divisão),10000,100,Divisão,100.0,9900,0.0380766082000001,0.012287728757213614,2071.64375,1379.2,6.75,13.5,0.4503064086000002,0.015351691662620988,50.624,2.4836324204680533,8.13984375,9.6,87.475,100.0
Hash (Multiplicação (Razão Áurea)),10000,100,Multiplicação (Razão Áurea),100.0,9900,0.03660143359999992,0.001942907746497375,2068.528125,0.0,0.0,0.0,0.45569387499999986,0.010142988876546143,49.378,2.6845427916127527,6.934375,6.4,87.49,100.0
Hash (Meio-Quadrado (Mid-Square)),10000,100,Meio-Quadrado (Mid-Square),100.0,9900,0.05216803339999956,0.0016244239097595624,2068.6966796875,25.6,0.0,0.0,0.5555524252000001,0.010632603105817352,57.234,1.7818333255386154,7.1142578125,3.2,89.996,100.0
Hash (Divisão),10000,1000,Divisão,10.0,9000,0.035737816799999676,0.002210783490361703,2166.052734375,67.2,0.0,0.0,0.2781201833999997,0.002633715235472009,5.6,0.16031219541881403,6.037890625,6.4,79.98,100.0
Hash (Multiplicação (Razão Áurea)),10000,1000,Multiplicação (Razão Áurea),10.0,9000,0.036531975200000136,0.0013450296630109998,2165.626171875,0.0,0.0,0.0,0.28408878320000036,0.027603873738039065,5.66,0.2301086699800769,5.9888671875,6.4,79.65933333333334,100.0
Hash (Meio-Quadrado (Mid-Square)),10000,1000,Meio-Quadrado (Mid-Square),10.0,9000,0.05350241659999995,0.002126580256857612,2141.119140625,0.0,9.99,19.98,0.39819478360000105,0.009472092395527848,7.026,0.4203332011630774,6.7615234375,3.2,85.69714285714285,100.0
Hash (Divisão),10000,5000,Divisão,2.0,5000,0.03500633339999979,0.0033330030661812807,2449.6333984375,179.2,0.0,0.0,0.2392252586000005,0.0022029448397624155,1.526,0.03049590136395384,5.2888671875,6.4,75.987,100.0
Hash (Multiplicação (Razão Áurea)),10000,5000,Multiplicação (Razão Áurea),2.0,5000,0.03920461660000072,0.0026948482893834067,2448.3271484375,0.0,0.0,0.0,0.2397314336000001,0.02790223290622997,1.572,0.07049822692805825,5.2494140625,3.2,78.996,100.0
Hash (Meio-Quadrado (Mid-Square)),10000,5000,Meio-Quadrado (Mid-Square),2.0,9000,0.05783702479999917,0.0020651150599031,2392.5701171875,3.2,29.93,59.86,0.39421908340000017,0.009636342709224394,6.806,0.2674509300787717,6.6673828125,3.2,85.70857142857142,100.0
Hash (Divisão),50000,100,Divisão,500.0,49900,0.15926305000000268,0.006832865975695787,10362.4380859375,10192.0,66.61333333333333,99.98,1.7254159998000005,0.15753062264330633,243.184,19.010412410045177,9.5232421875,9.6,96.53116054875788,100.0
