Dataset,N,Estrutura,Rodada,Tempo Real (ms),Tempo CPU (ms),Memória Pico (KB),Iteracoes
dados_10000.csv,10000,BST Balanceada,1,0.0087,0.007,0.0,13
dados_10000.csv,10000,BST Balanceada,2,0.003,0.002,0.0,13
dados_10000.csv,10000,BST Balanceada,3,0.0027,0.002,0.0,13
dados_10000.csv,10000,BST Balanceada,4,0.0026,0.004,0.0,13
dados_10000.csv,10000,BST Balanceada,5,0.0029,0.003,0.0,13
dados_10000.csv,10000,BST Simples,1,0.0035,0.004,0.0,16
dados_10000.csv,10000,BST Simples,2,0.0032,0.003,0.0,16
dados_10000.csv,10000,BST Simples,3,0.003,0.003,0.0,16
dados_10000.csv,10000,BST Simples,4,0.0032,0.004,0.0,16
dados_10000.csv,10000,BST Simples,5,0.0031,0.002,0.0,16
dados_50000.csv,50000,BST Balanceada,1,0.0132,0.009,0.08,15
dados_50000.csv,50000,BST Balanceada,2,0.003,0.003,0.0,15
dados_50000.csv,50000,BST Balanceada,3,0.0031,0.003,0.0,15
dados_50000.csv,50000,BST Balanceada,4,0.003,0.003,0.0,15
dados_50000.csv,50000,BST Balanceada,5,0.003,0.003,0.0,15
dados_50000.csv,50000,BST Simples,1,0.0032,0.003,0.0,12
dados_50000.csv,50000,BST Simples,2,0.0025,0.002,0.0,12
dados_50000.csv,50000,BST Simples,3,0.0026,0.002,0.0,12
dados_50000.csv,50000,BST Simples,4,0.0025,0.002,0.0,12
dados_50000.csv,50000,BST Simples,5,0.0026,0.002,0.0,12
dados_100000.csv,100000,BST Balanceada,1,0.0154,0.012,0.08,16
dados_100000.csv,100000,BST Balanceada,2,0.0033,0.003,0.0,16
dados_100000.csv,100000,BST Balanceada,3,0.0031,0.002,0.0,16
dados_100000.csv,100000,BST Balanceada,4,0.0033,0.003,0.0,16
dados_100000.csv,100000,BST Balanceada,5,0.0032,0.002,0.0,16
dados_100000.csv,100000,BST Simples,1,0.0058,0.005,0.0,16
dados_100000.csv,100000,BST Simples,2,0.0031,0.003,0.0,16
dados_100000.csv,100000,BST Simples,3,0.0031,0.003,0.0,16
dados_100000.csv,100000,BST Simples,4,0.0031,0.002,0.0,16
dados_100000.csv,100000,BST Simples,5,0.0034,0.003,0.0,16
dados_250000.csv,250000,BST Balanceada,1,0.026,0.022,0.08,17
dados_250000.csv,250000,BST Balanceada,2,0.0036,0.003,0.0,17
dados_250000.csv,250000,BST Balanceada,3,0.0032,0.003,0.0,17
dados_250000.csv,250000,BST Balanceada,4,0.0033,0.003,0.0,17
dados_250000.csv,250000,BST Balanceada,5,0.0032,0.002,0.0,17
dados_250000.csv,250000,BST Simples,1,0.008,0.007,0.0,14
dados_250000.csv,250000,BST Simples,2,0.0029,0.002,0.0,14
dados_250000.csv,250000,BST Simples,3,0.0027,0.002,0.0,14
dados_250000.csv,250000,BST Simples,4,0.0027,0.003,0.0,14
dados_250000.csv,250000,BST Simples,5,0.0026,0.002,0.0,14
dados_500000.csv,500000,BST Balanceada,1,0.0339,0.026,0.08,18
dados_500000.csv,500000,BST Balanceada,2,0.0036,0.003,0.0,18
dados_500000.csv,500000,BST Balanceada,3,0.0034,0.003,0.0,18
dados_500000.csv,500000,BST Balanceada,4,0.0033,0.003,0.0,18
dados_500000.csv,500000,BST Balanceada,5,0.0033,0.003,0.0,18
dados_500000.csv,500000,BST Simples,1,0.0088,0.008,0.0,17
dados_500000.csv,500000,BST Simples,2,0.003,0.003,0.0,17
dados_500000.csv,500000,BST Simples,3,0.0032,0.003,0.0,17
dados_500000.csv,500000,BST Simples,4,0.003,0.003,0.0,17
dados_500000.csv,500000,BST Simples,5,0.0032,0.004,0.0,17
dados_750000.csv,750000,BST Balanceada,1,0.0245,0.02,0.08,19
dados_750000.csv,750000,BST Balanceada,2,0.0038,0.003,0.0,19
dados_750000.csv,750000,BST Balanceada,3,0.0035,0.004,0.0,19
dados_750000.csv,750000,BST Balanceada,4,0.0035,0.003,0.0,19
dados_750000.csv,750000,BST Balanceada,5,0.0035,0.003,0.0,19
dados_750000.csv,750000,BST Simples,1,0.0071,0.007,0.0,12
dados_750000.csv,750000,BST Simples,2,0.0025,0.002,0.0,12
dados_750000.csv,750000,BST Simples,3,0.0025,0.002,0.0,12
dados_750000.csv,750000,BST Simples,4,0.0025,0.003,0.0,12
dados_750000.csv,750000,BST Simples,5,0.0025,0.002,0.0,12
dados_1000000.csv,1000000,BST Balanceada,1,0.0211,0.017,0.08,19
dados_1000000.csv,1000000,BST Balanceada,2,0.0036,0.002,0.0,19
dados_1000000.csv,1000000,BST Balanceada,3,0.0036,0.004,0.0,19
dados_1000000.csv,1000000,BST Balanceada,4,0.0035,0.003,0.0,19
dados_1000000.csv,1000000,BST Balanceada,5,0.0035,0.003,0.0,19
dados_1000000.csv,1000000,BST Simples,1,0.0077,0.007,0.0,18
dados_1000000.csv,1000000,BST Simples,2,0.0035,0.003,0.0,18
dados_1000000.csv,1000000,BST Simples,3,0.0036,0.003,0.0,18
dados_1000000.csv,1000000,BST Simples,4,0.0033,0.003,0.0,18
dados_1000000.csv,1000000,BST Simples,5,0.0033,0.003,0.0,18
