Dataset,N,Operação,Rodada,Tempo Real (ms),Tempo CPU (ms),Memória Pico (KB),Iterações
dados_10000.csv,10000,Linear,1,9.2703,15.625,0.18,10000
dados_10000.csv,10000,Linear,2,8.9619,0.0,0.14,10000
dados_10000.csv,10000,Linear,3,9.0363,15.625,0.14,10000
dados_10000.csv,10000,Linear,4,9.0272,0.0,0.14,10000
dados_10000.csv,10000,Linear,5,9.1515,15.625,0.14,10000
dados_10000.csv,10000,Binária,1,0.0531,0.0,0.16,14
dados_10000.csv,10000,Binária,2,0.0284,0.0,0.16,14
dados_10000.csv,10000,Binária,3,0.0273,0.0,0.16,14
dados_10000.csv,10000,Binária,4,0.0266,0.0,0.16,14
dados_10000.csv,10000,Binária,5,0.0268,0.0,0.16,14
dados_50000.csv,50000,Linear,1,47.257,46.875,0.14,50000
dados_50000.csv,50000,Linear,2,46.5737,46.875,0.14,50000
dados_50000.csv,50000,Linear,3,46.521,46.875,0.14,50000
dados_50000.csv,50000,Linear,4,46.1625,46.875,0.14,50000
dados_50000.csv,50000,Linear,5,47.2143,46.875,0.14,50000
dados_50000.csv,50000,Binária,1,0.0461,0.0,0.16,16
dados_50000.csv,50000,Binária,2,0.0312,0.0,0.16,16
dados_50000.csv,50000,Binária,3,0.0306,0.0,0.16,16
dados_50000.csv,50000,Binária,4,0.0305,0.0,0.16,16
dados_50000.csv,50000,Binária,5,0.0306,0.0,0.16,16
dados_100000.csv,100000,Linear,1,94.2157,93.75,0.14,100000
dados_100000.csv,100000,Linear,2,92.6939,93.75,0.14,100000
dados_100000.csv,100000,Linear,3,94.0972,93.75,0.14,100000
dados_100000.csv,100000,Linear,4,93.2645,93.75,0.14,100000
dados_100000.csv,100000,Linear,5,92.354,93.75,0.14,100000
dados_100000.csv,100000,Binária,1,0.0455,0.0,0.16,17
dados_100000.csv,100000,Binária,2,0.032,0.0,0.16,17
dados_100000.csv,100000,Binária,3,0.0316,0.0,0.16,17
dados_100000.csv,100000,Binária,4,0.0311,0.0,0.16,17
dados_100000.csv,100000,Binária,5,0.0311,0.0,0.16,17
dados_250000.csv,250000,Linear,1,232.3358,234.375,0.14,250000
dados_250000.csv,250000,Linear,2,230.5389,234.375,0.14,250000
dados_250000.csv,250000,Linear,3,228.648,234.375,0.14,250000
dados_250000.csv,250000,Linear,4,229.1904,218.75,0.14,250000
dados_250000.csv,250000,Linear,5,230.7217,234.375,0.14,250000
dados_250000.csv,250000,Binária,1,0.0502,0.0,0.16,18
dados_250000.csv,250000,Binária,2,0.0343,0.0,0.16,18
dados_250000.csv,250000,Binária,3,0.0334,0.0,0.16,18
dados_250000.csv,250000,Binária,4,0.0337,0.0,0.16,18
dados_250000.csv,250000,Binária,5,0.0333,0.0,0.16,18
dados_500000.csv,500000,Linear,1,466.3876,453.125,0.14,500000
dados_500000.csv,500000,Linear,2,460.843,468.75,0.14,500000
dados_500000.csv,500000,Linear,3,460.5667,453.125,0.14,500000
dados_500000.csv,500000,Linear,4,461.2792,468.75,0.14,500000
dados_500000.csv,500000,Linear,5,466.3461,468.75,0.14,500000
dados_500000.csv,500000,Binária,1,0.0533,0.0,0.16,19
dados_500000.csv,500000,Binária,2,0.036,0.0,0.16,19
dados_500000.csv,500000,Binária,3,0.0355,0.0,0.16,19
dados_500000.csv,500000,Binária,4,0.0349,0.0,0.16,19
dados_500000.csv,500000,Binária,5,0.0354,0.0,0.16,19
dados_750000.csv,750000,Linear,1,690.6705,687.5,0.14,750000
dados_750000.csv,750000,Linear,2,695.5856,687.5,0.14,750000
dados_750000.csv,750000,Linear,3,684.6027,687.5,0.14,750000
dados_750000.csv,750000,Linear,4,685.8041,687.5,0.14,750000
dados_750000.csv,750000,Linear,5,687.6161,687.5,0.14,750000
dados_750000.csv,750000,Binária,1,0.0541,0.0,0.16,20
dados_750000.csv,750000,Binária,2,0.0373,0.0,0.16,20
dados_750000.csv,750000,Binária,3,0.0363,0.0,0.16,20
dados_750000.csv,750000,Binária,4,0.0365,0.0,0.16,20
dados_750000.csv,750000,Binária,5,0.0362,0.0,0.16,20
dados_1000000.csv,1000000,Linear,1,948.4543,953.125,0.14,1000000
dados_1000000.csv,1000000,Linear,2,953.6671,953.125,0.14,1000000
dados_1000000.csv,1000000,Linear,3,946.1912,953.125,0.14,1000000
dados_1000000.csv,1000000,Linear,4,934.7916,921.875,0.14,1000000
dados_1000000.csv,1000000,Linear,5,942.318,953.125,0.14,1000000
dados_1000000.csv,1000000,Binária,1,0.0556,0.0,0.16,20
dados_1000000.csv,1000000,Binária,2,0.0383,0.0,0.16,20
dados_1000000.csv,1000000,Binária,3,0.0372,0.0,0.16,20
dados_1000000.csv,1000000,Binária,4,0.037,0.0,0.16,20
dados_1000000.csv,1000000,Binária,5,0.0373,0.0,0.16,20
