Dataset,N,M (Tamanho Tabela),Função Hash,Load Factor,Rodada,Tempo Real (ms),Tempo CPU (ms),Memória Pico (KB),Iterações,Colisões Totais
dados_10000.csv,10000,10000,Divisão,1.0,1,0.0115,0.007,0.64,1,0
dados_10000.csv,10000,10000,Divisão,1.0,2,0.0032,0.004,0.14,1,0
dados_10000.csv,10000,10000,Divisão,1.0,3,0.0026,0.002,0.14,1,0
dados_10000.csv,10000,10000,Divisão,1.0,4,0.0022,0.002,0.14,1,0
dados_10000.csv,10000,10000,Divisão,1.0,5,0.0022,0.003,0.14,1,0
dados_10000.csv,10000,10000,Multiplicação,1.0,1,0.011,0.01,0.14,1,1086
dados_10000.csv,10000,10000,Multiplicação,1.0,2,0.0092,0.009,0.14,1,1086
dados_10000.csv,10000,10000,Multiplicação,1.0,3,0.0027,0.002,0.14,1,1086
dados_10000.csv,10000,10000,Multiplicação,1.0,4,0.0025,0.002,0.14,1,1086
dados_10000.csv,10000,10000,Multiplicação,1.0,5,0.0024,0.002,0.14,1,1086
dados_10000.csv,10000,10000,Meio-Quadrado,1.0,1,0.0123,0.01,0.24,18,9000
dados_10000.csv,10000,10000,Meio-Quadrado,1.0,2,0.0062,0.005,0.24,18,9000
dados_10000.csv,10000,10000,Meio-Quadrado,1.0,3,0.0056,0.005,0.24,18,9000
dados_10000.csv,10000,10000,Meio-Quadrado,1.0,4,0.0052,0.005,0.24,18,9000
dados_10000.csv,10000,10000,Meio-Quadrado,1.0,5,0.0051,0.005,0.24,18,9000
dados_10000.csv,10000,100000,Divisão,0.1,1,0.0075,0.006,0.14,0,0
dados_10000.csv,10000,100000,Divisão,0.1,2,0.0026,0.003,0.14,0,0
dados_10000.csv,10000,100000,Divisão,0.1,3,0.0021,0.002,0.14,0,0
dados_10000.csv,10000,100000,Divisão,0.1,4,0.0023,0.002,0.14,0,0
dados_10000.csv,10000,100000,Divisão,0.1,5,0.002,0.002,0.14,0,0
dados_10000.csv,10000,100000,Multiplicação,0.1,1,0.0077,0.007,0.14,0,0
dados_10000.csv,10000,100000,Multiplicação,0.1,2,0.003,0.002,0.14,0,0
dados_10000.csv,10000,100000,Multiplicação,0.1,3,0.0025,0.002,0.14,0,0
dados_10000.csv,10000,100000,Multiplicação,0.1,4,0.0024,0.002,0.14,0,0
dados_10000.csv,10000,100000,Multiplicação,0.1,5,0.0023,0.002,0.14,0,0
dados_10000.csv,10000,100000,Meio-Quadrado,0.1,1,0.0123,0.01,0.24,18,9000
dados_10000.csv,10000,100000,Meio-Quadrado,0.1,2,0.0063,0.006,0.24,18,9000
dados_10000.csv,10000,100000,Meio-Quadrado,0.1,3,0.0057,0.005,0.24,18,9000
