Operação,Tempo (ms),Memória Pico (KB),Iterações,N
Linear,9.4017,0.16,10000,10000
Binária,2.5213,234.59,14,10000
Linear,46.6409,0.14,50000,50000
Binária,13.3465,1171.88,16,50000
Linear,92.4017,0.14,100000,100000
Binária,26.3383,2343.63,17,100000
Linear,223.2322,0.14,250000,250000
Binária,76.5588,5859.45,18,250000
Linear,463.3421,0.14,500000,500000
Binária,172.5602,11718.73,19,500000
Linear,670.2217,0.14,750000,750000
Binária,270.5738,17578.16,20,750000
Linear,894.5713,0.14,1000000,1000000
Binária,403.6598,23437.26,20,1000000
